mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
17801,Chang-Chen  Yang,Edward Dmytro Tymchatyn,Characterizing Spaces by Disconnection Properties,University of Saskatchewan,Canada,1997,0,0
17802,Saeid  Azam,Stephen  Berman,Extended Affine Lie Algebras and Extended Affine Weyl Groups,University of Saskatchewan,Canada,1997,3,3
17803,Shaobin  Tan,Stephen  Berman,A Study of Vertex Operator Constructions for Some Infinite Dimensional Lie Algebras,University of Saskatchewan,Canada,1998,0,0
17804,Gareth James Griffith,R. V. Servranckx,On the Reality of the Inflections of Real Plane Algebraic Curves,University of Saskatchewan,Canada,1974,0,0
17805,YooPyo  Hong,Roger Alan Horn,,The Johns Hopkins University,UnitedStates,1985,2,2
17807,Georg Alexander Pick,Leo  KÃ¶nigsberger,Über eine Klasse abelscher Integrale,Universität Wien,Austria,1880,5,634
17808,Harry  Pollard,David Vernon Widder,Studies in the Stieltjes Transform,Harvard University,UnitedStates,1942,9,81
17809,Arthur  Bennett,Harry  Pollard,,Purdue University,UnitedStates,1963,0,0
17810,Michael  Fiske,Donald Gene Saari,Non-autonomous Dynamical Systems Applicable to Neural Computations,Northwestern University,UnitedStates,1996,0,0
17811,Michael  Aizenman,Joel Louis Lebowitz,Ergodic Theory in Statistical Mechanics,Yeshiva University,UnitedStates,1975,8,21
17812,George  Delistathis,W. Stephen (William) Watson,A Cosmic Space with Different Dimensions,York University,Canada,1996,0,0
17813,Pieter (Petrus) Leonard (Leonardus) Rijke,Pieter Johannes Uylenbroek,Specimen physicum inaugurale de orgine electricitatis Voltaicae,Universiteit Leiden,Netherlands,1836,6,3268
17814,Elliott  Pearl,W. Stephen (William) Watson,Some Results in General Topology and Applications to Dynamical Systems: Homogeneity and Monotone Semiflows,York University,Canada,1996,0,0
17815,Janet Lynn Beery,Thomas Fulcher Bickel,Transitive Groups of Prime Degree,Dartmouth College,UnitedStates,1989,0,0
17816,Robert Harris Scanlan,Norman  Levinson,On the Existence of Certain Entire Functions of Zero Type,Massachusetts Institute of Technology,UnitedStates,1943,0,0
17817,Lawrence G. Jones,Norman  Levinson,Differential Equations with Discontinuous Right Member,Massachusetts Institute of Technology,UnitedStates,1946,0,0
17818,Warren Simms Loud,Norman  Levinson,On the Stationary Solutions of Van der Pol's Equation with a Forcing Term,Massachusetts Institute of Technology,UnitedStates,1946,7,61
17819,Donald Laurence Thomsen Jr.,Norman  Levinson,On the Separation of Variables in the Two-Dimensional Scalar Helmholtz Equation,Massachusetts Institute of Technology,UnitedStates,1947,0,0
17820,Bruce Plymton Bogert,Norman  Levinson,On the Separability of One Variable in Certain Linear Partial Differential Equations,Massachusetts Institute of Technology,UnitedStates,1948,0,0
17821,Edgar Nelson Gilbert,Norman  Levinson,Asymptotic Solution of Relaxation Oscillation Problems,Massachusetts Institute of Technology,UnitedStates,1948,0,0
17822,Raymond Moos Redheffer,Norman  Levinson,Separation of Laplace's Equation,Massachusetts Institute of Technology,UnitedStates,1948,7,8
17823,Winfred Charles Roark,Andy Roy Magid,Separable Criteria for G-Diagrams over Commutative Rings,The University of Oklahoma,UnitedStates,1976,0,0
17824,Zensho  Nakao,Andy Roy Magid,Some Basic Properties of Left Algebraic Groups,The University of Oklahoma,UnitedStates,1977,0,0
17825,Shaw Yi Kao,Andy Roy Magid,Separable C0(X) Algebras;,The University of Oklahoma,UnitedStates,1978,0,0
17826,Lawrence Wayne Naylor,Andy Roy Magid,Height One Separable Algebras over Commutative Rings,The University of Oklahoma,UnitedStates,1978,0,0
